시설번호,시설명,호선,역코드,역명,역번호,기준일자,관리번호,출입구내외부,지상지하,인접출입구번호,상세위치,화장실정보,역층,휠체어이용가능
1740708,건축)대합실화장실-서대문_지하1층,5호선,2533,서대문,532,20210527,,외부,지하,"1,2","지하1층 대합실 1, 2번 출입구 내려와서 왼쪽","일반(남,여) / 교통약자(남,여)",B1,Y
1740709,건축)대합실화장실-광화문_지하1층,5호선,2534,광화문,533,20210527,,외부,지하,"7,8",세종측 대합실 지하1층,"일반(남,여) / 교통약자(남,여)",B1,Y
1740710,건축)대합실화장실-종로3가(5)_지하1층,5호선,2535,종로3가,534,20210527,,내부,지하,5,대합실 지하1층 고객안전실 맞은편,"일반(남,여) / 교통약자(남,여)",B1,Y
1740711,건축)대합실화장실-을지로4가(5)_지하1층,5호선,2536,을지로4가,535,20210527,,외부,지하,"1,2","대합실 B1층, B2층 내려가는 계단 앞","일반(남,여) / 교통약자(남,여)",B1,Y
1740712,건축)대합실화장실-동대문역사문화공원(5)_지하1층,5호선,2537,동대문역사문화공원,536,20210527,,외부,지하,7,지하1층,"일반(남,여) / 교통약자(남,여)",B1,Y
1740713,건축)대합실화장실-신금호_지하1층,5호선,2539,신금호,538,20210527,,외부,지하,5,B2개집표기 앞,"일반(남,여) / 교통약자(남,여)",B2,Y
1740714,건축)대합실화장실-행당_지하3층,5호선,2540,행당,539,20210527,,외부,지하,1~4,지하3층 E/S 옆(고객상담실 및만남의장소 앞),"일반(남,여) / 교통약자(남,여)",B3,Y
1740715,건축)대합실화장실-왕십리(5)_지하2층,5호선,2541,왕십리,540,20210527,,내부,지하,4,B2 대합실 상가2002호점 옆,"일반(남,여) / 교통약자(남,여)",B2,N
1740717,건축)대합실화장실-마장_지하2층,5호선,2542,마장,541,20210527,,외부,지하,1~4,지하2층 대합실,"일반(남,여) / 교통약자(남,여)",B2,Y
1740718,건축)대합실화장실-답십리_지하1층,5호선,2543,답십리,542,20210527,,외부,지하,"5,6","B1층 5,6번 출입구 방향","일반(남,여) / 교통약자(남,여)",B1,N
1740719,건축)대합실화장실-장한평_지하1층,5호선,2544,장한평,543,20210527,,외부,지하,1,지하 1층 1번 출입구 나가기전 좌측방향,"일반(남,여) / 교통약자(남,여)",B1,N
1740720,건축)대합실화장실-군자(5)_지하1층,5호선,2545,군자,544,20210527,,외부,지하,"7,8",지하1층 대합실 (가)개집표기 앞,"일반(남,여) / 교통약자(남,여)",B1,Y
1740721,건축)대합실화장실-아차산_지하1층,5호선,2546,아차산,545,20210527,,외부,지하,3,지하1층 대합실,"일반(남,여) / 교통약자(남,여)",B1,Y
1740722,건축)대합실화장실-광나루_지하1층,5호선,2547,광나루,546,20210527,,외부,지하,"1,2",지하1층,"일반(남,여) / 교통약자(남,여)",B1,Y
1740723,건축)대합실화장실-천호(5)_지하1층,5호선,2548,천호,547,20210527,,외부,지하,"5,6","지하1층 대합실(5,6번 출입구 방향)","일반(남,여) / 교통약자(남,여)",B1,Y
1740724,건축)대합실화장실-강동_지하1층,5호선,2549,강동,548,20210527,,외부,지하,2,대합실 지하1층 2번 출입구 앞,"일반(남,여) / 교통약자(남,여)",B1,N
1740725,건축)대합실화장실-길동_지하1층,5호선,2550,길동,549,20210527,,외부,지하,3,대합실 지하1층 3번 출입구 옆,"일반(남,여) / 교통약자(남,여)",B1,Y
1740726,건축)대합실화장실-굽은다리_지하1층,5호선,2551,굽은다리,550,20210527,,외부,지하,3,대합실 지하1층 3번 출입구 앞,"일반(남,여) / 교통약자(남,여)",B1,Y
1740727,건축)대합실화장실-명일_지하1층,5호선,2552,명일,551,20210527,,외부,지하,3,대합실 지하1층 3번 출입구 앞,"일반(남,여) / 교통약자(남,여)",B1,Y
