시설번호,시설명,호선,역코드,역명,역번호,기준일자,관리번호,출입구내외부,지상지하,인접출입구번호,상세위치,화장실정보,역층,휠체어이용가능
1740807,건축)대합실화장실-건대입구(7)_지하2층,7호선,2729,건대입구,727,20210527,,내부,지하,3,B2층 개집표기 옆,"일반(남,여) / 교통약자(남,여)",B2,Y
1740808,건축)대합실화장실-자양_지상2층,7호선,2730,자양,728,20210527,,내부,지상,"1,4",지상2층 대합실,"일반(남,여) / 교통약자(남,여)",2,Y
1740810,건축)대합실화장실-강남구청(7)_지하2층,7호선,2732,강남구청,730,20210527,,외부,지하,"1,4",B2층 대합실 (가)아이센터 맞은편,"일반(남,여) / 교통약자(남,여)",B2,Y
1740813,건축)대합실화장실-반포_지하2층,7호선,2735,반포,733,20210527,,외부,지하,"1,2,5,6",대합실 지하2층 계단 옆,"일반(남,여) / 교통약자(남,여)",B2,Y
1740814,건축)대합실화장실-고속터미널(7)_지하1층,7호선,2736,고속터미널,734,20210527,,외부,지하,3,대합실 지하1층 3번 출입구 왼쪽,"일반(남,여) / 교통약자(남,여)",B1,N
1740815,건축)대합실화장실-내방_지하1층,7호선,2737,내방,735,20210527,,외부,지하,5~8,대합실 지하1층 5~8번 출입구방면,"일반(남,여) / 교통약자(남,여)",B1,Y
1740817,건축)대합실화장실-이수(7)_지하1층,7호선,2738,이수,736,20210527,,외부,지하,"7,8",지하1층 연결통로,"일반(남,여) / 교통약자(남,여)",B1,N
1740818,건축)대합실화장실-이수(7)_지하3층,7호선,2738,이수,736,20210527,,내부,지하,"7,8",지하3층 (가)개집표기 내부 상선 내부계단 옆,"일반(남,여) / 교통약자(남,여)",B3,Y
1740819,건축)대합실화장실-남성_지하2층,7호선,2739,남성,737,20210527,,내부,지하,"2,3",대합실 상선 내부계단 옆,"일반(남,여) / 교통약자(남,여)",B2,Y
1740820,건축)대합실화장실-숭실대입구_지하2층,7호선,2740,숭실대입구,738,20210527,,외부,지하,1~4,대합실 2층,"일반(남,여) / 교통약자(남,여)",B2,Y
1740821,건축)대합실화장실-상도_지하2층,7호선,2741,상도,739,20210527,,외부,지하,3~5,지하 2층 대합실 계단좌측,"일반(남,여) / 교통약자(남,여)",B2,Y
1740822,건축)대합실화장실-장승배기_지하2층,7호선,2742,장승배기,740,20210527,,외부,지하,"5,6","지하2층 대합실 5,6번 출입구방향 내부계단 옆","일반(남,여) / 교통약자(남,여)",B2,Y
1740824,건축)대합실화장실-신대방삼거리_지하2층,7호선,2743,신대방삼거리,741,20210527,,외부,지하,"1,2",대합실 2층,"일반(남,여) / 교통약자(남,여)",B2,Y
1740826,건축)대합실화장실-보라매_지하1층(대합실),7호선,2744,보라매,742,20210527,,외부,지하,3,대합실 1층 3번 출입구 방향,"일반(남,여) / 교통약자(남,여)",B1,Y
1740827,건축)대합실화장실-신풍_지하1층,7호선,2745,신풍,743,20210527,,외부,지하,5,대합실 1층 5번 출입구방향,"일반(남,여) / 교통약자(남,여)",B1,Y
1740828,건축)대합실화장실-대림(7)_지하1층,7호선,2746,대림,744,20210527,,외부,지하,"9,10",대합실 1층,"일반(남,여) / 교통약자(남,여)",B1,Y
1740829,건축)대합실화장실-남구로_지하1층,7호선,2747,남구로,745,20210527,,외부,지하,2~5,"대합실 1층 2~5번 출입구(E/S 7,8호기 옆)","일반(남,여) / 교통약자(남,여)",B1,N
1740830,건축)대합실화장실-가산디지털단지(7)_지하1층,7호선,2748,가산디지털단지,746,20210527,,외부,지하,4,대합실 1층 4번 출입구 방향,"일반(남,여) / 교통약자(남,여)",B1,N
1740831,건축)대합실화장실-철산_지하1층,7호선,2749,철산,747,20210527,,외부,지하,3,대합실 1층 3번 출입구 방향,"일반(남,여) / 교통약자(남,여)",B1,Y
1808405,건축)대합실화장실-암사역사공원,8호선,2810,암사역사공원,809,20240718,,외부,지하,3,대합실 B1층 3번 출입구 방향,"일반(남,여) / 교통약자(남,여)",B1,Y
1740848,건축)대합실화장실-암사_지하1층,8호선,2811,암사,810,20210527,,외부,지하,2,대합실 B1층 2번 출입구 방향,"일반(남,여) / 교통약자(남,여)",B1,Y
1740849,건축)대합실화장실-강동구청_지하2층,8호선,2813,강동구청,812,20210527,,외부,지하,"4,5",대합실 B2층 개집표기 옆,"일반(남,여) / 교통약자(남,여)",B2,Y
1740850,건축)대합실화장실-몽촌토성_지하1층,8호선,2814,몽촌토성,813,20210527,,외부,지하,"1,2,3","대합실 B1층 1,2,3번 출입구 방향","일반(남,여) / 교통약자(남,여)",B1,Y
1740851,건축)대합실화장실-잠실(8)_지하1층,8호선,2815,잠실,814,20210527,,외부,지하,11,B1층 11번 출입구 옆,"일반(남,여) / 교통약자(남,여)",B1,Y
1740852,건축)대합실화장실-석촌(8)_지하1층,8호선,2816,석촌,815,20210527,,외부,지하,"7,8",대합실 B1층 개집표기 옆,"일반(남,여) / 교통약자(남,여)",B1,Y
1740853,건축)대합실화장실-송파_지하1층,8호선,2817,송파,816,20210527,,외부,지하,1,대합실 B1층 1번 출입구 방향,"일반(남,여) / 교통약자(남,여)",B1,Y
1740854,건축)대합실화장실-가락시장(8)_지하1층,8호선,2818,가락시장,817,20210527,,외부,지하,2-1,B1층 대합실과 가락몰 연결통로 사이,"일반(남,여) / 교통약자(남,여)",B1,Y
1740855,건축)대합실화장실-문정_지하1층,8호선,2819,문정,818,20210527,,외부,지하,2,대합실 B1층 2번 출입구 방향,"일반(남,여) / 교통약자(남,여)",B1,Y
1740856,건축)대합실화장실-장지_지하1층,8호선,2820,장지,819,20210527,,외부,지하,"3,4","대합실 B1층 3,4번 출입구 방면","일반(남,여) / 교통약자(남,여)",B1,Y
1740857,건축)대합실화장실-복정(8)_지하1층,8호선,2821,복정,820,20210527,,외부,지하,1,대합실 지하1층 아이센터 근처,"일반(남,여) / 교통약자(남,여)",B1,Y
1740858,건축)대합실화장실-산성_지하1층,8호선,2822,산성,822,20210527,,외부,지하,"1,2","B1층 1,2번 출입구 계단 오른쪽","일반(남,여) / 교통약자(남,여)",B1,Y
1740859,건축)대합실화장실-남한산성입구_지하2층,8호선,2823,남한산성입구,823,20210527,,외부,지하,"1,2",대합실 지하2층 에스컬레이터 근처,"일반(남,여) / 교통약자(남,여)",B2,Y
1740860,건축)대합실화장실-단대오거리_지하1층,8호선,2824,단대오거리,824,20210527,,외부,지하,"6,7",대합실 지하1층 2호기E/V 옆,"일반(남,여) / 교통약자(남,여)",B1,Y
1740861,건축)대합실화장실-신흥_지하1층,8호선,2825,신흥,825,20210527,,외부,지하,"1,2","B1층 대합실 1,2번 출입구방면","일반(남,여) / 교통약자(남,여)",B1,Y
1740862,건축)대합실화장실-수진_지하1층,8호선,2826,수진,826,20210527,,외부,지하,"1,2",대합실 지하1층 편의점 옆,"일반(남,여) / 교통약자(남,여)",B1,Y
1740863,건축)대합실화장실-모란(8)_지하2층,8호선,2827,모란,827,20210527,,외부,지하,"10,11",B2층 대합실 상행 E/S 옆,"일반(남,여) / 교통약자(남,여)",B2,Y
1777636,건축)대합실화장실-남위례,8호선,2828,남위례,821,20220331,,외부,지상,1,대합실 지상2층 주출입구 근처,"일반(남,여) / 교통약자(남,여)",2,Y
