,datetime_full,호선,역명,사용일수구분,승차건수,하차건수
97,2024-01-05 22:00:00,4호선,동대문,2일권,0,1
98,2024-01-05 23:00:00,4호선,혜화,2일권,1,0
99,2024-01-05 23:00:00,4호선,서울역,2일권,0,1
100,2024-01-06 08:00:00,3호선,녹번,3일권,1,0
101,2024-01-06 08:00:00,4호선,서울역,5일권,0,1
102,2024-01-06 08:00:00,4호선,숙대입구(갈월),5일권,1,0
103,2024-01-06 09:00:00,3호선,경복궁(정부서울청사),3일권,0,1
104,2024-01-06 10:00:00,2호선,시청,3일권,3,0
105,2024-01-06 11:00:00,2호선,뚝섬,3일권,0,3
106,2024-01-06 12:00:00,3호선,녹번,3일권,1,0
107,2024-01-06 13:00:00,5호선,여의나루,3일권,0,1
108,2024-01-06 14:00:00,5호선,여의나루,3일권,1,0
109,2024-01-06 15:00:00,4호선,이촌(국립중앙박물관),3일권,0,1
110,2024-01-06 16:00:00,3호선,안국,3일권,1,0
111,2024-01-06 16:00:00,3호선,종로3가,3일권,0,1
112,2024-01-06 17:00:00,2호선,홍대입구,3일권,0,0
113,2024-01-06 17:00:00,4호선,이촌(국립중앙박물관),3일권,1,0
114,2024-01-06 18:00:00,2호선,홍대입구,3일권,0,2
115,2024-01-06 18:00:00,3호선,종로3가,3일권,1,0
116,2024-01-06 22:00:00,2호선,신촌,3일권,2,0
117,2024-01-06 22:00:00,3호선,녹번,3일권,0,2
118,2024-01-07 00:00:00,3호선,독립문,3일권,0,2
119,2024-01-07 09:00:00,3호선,녹번,3일권,2,0
120,2024-01-07 09:00:00,4호선,명동,3일권,0,2
121,2024-01-07 12:00:00,2호선,잠실(송파구청),3일권,0,2
122,2024-01-07 12:00:00,4호선,회현(남대문시장),3일권,2,0
123,2024-01-07 17:00:00,2호선,잠실(송파구청),3일권,2,0
124,2024-01-07 18:00:00,2호선,강남,3일권,0,2
125,2024-01-07 20:00:00,4호선,명동,3일권,0,0
126,2024-01-07 21:00:00,4호선,명동,3일권,2,2
127,2024-01-07 22:00:00,4호선,서울역,3일권,0,2
128,2024-01-07 23:00:00,1호선,서울역,3일권,2,0
129,2024-01-08 10:00:00,4호선,명동,2일권,0,2
130,2024-01-08 10:00:00,4호선,서울역,2일권,2,0
131,2024-01-08 11:00:00,4호선,명동,2일권,2,0
132,2024-01-08 11:00:00,4호선,신용산,2일권,0,2
133,2024-01-08 13:00:00,4호선,신용산,2일권,2,0
134,2024-01-08 14:00:00,2호선,홍대입구,2일권,0,2
135,2024-01-08 21:00:00,2호선,을지로입구,3일권,2,1
136,2024-01-08 21:00:00,2호선,구로디지털단지,3일권,0,1
137,2024-01-08 21:00:00,3호선,신사,2일권,2,0
138,2024-01-08 22:00:00,3호선,신사,2일권,0,0
139,2024-01-09 00:00:00,4호선,명동,2일권,0,2
140,2024-01-09 18:00:00,2호선,낙성대(강감찬),3일권,6,0
141,2024-01-09 19:00:00,2호선,강남,2일권,0,2
142,2024-01-09 19:00:00,2호선,구로디지털단지,3일권,0,6
143,2024-01-09 19:00:00,4호선,명동,2일권,2,0
144,2024-01-09 23:00:00,2호선,홍대입구,2일권,2,0
145,2024-01-10 19:00:00,2호선,을지로3가,3일권,0,1
146,2024-01-10 19:00:00,2호선,홍대입구,3일권,1,0
147,2024-01-12 10:00:00,1호선,서울역,2일권,1,0
148,2024-01-12 10:00:00,1호선,종로5가,2일권,0,1
149,2024-01-12 16:00:00,2호선,시청,2일권,1,0
150,2024-01-12 16:00:00,2호선,합정,2일권,0,1
151,2024-01-13 10:00:00,2호선,구로디지털단지,2일권,2,0
152,2024-01-13 11:00:00,2호선,합정,2일권,1,0
153,2024-01-13 11:00:00,3호선,경복궁(정부서울청사),2일권,0,2
154,2024-01-13 13:00:00,3호선,경복궁(정부서울청사),2일권,2,0
155,2024-01-13 13:00:00,3호선,안국,2일권,0,2
156,2024-01-13 14:00:00,1호선,종각,2일권,1,0
157,2024-01-13 15:00:00,4호선,명동,2일권,0,2
158,2024-01-13 16:00:00,2호선,구로디지털단지,2일권,0,2
159,2024-01-13 16:00:00,4호선,명동,2일권,2,0
160,2024-01-14 10:00:00,2호선,종합운동장,2일권,0,2
161,2024-01-14 10:00:00,2호선,구로디지털단지,2일권,2,0
162,2024-01-14 11:00:00,2호선,잠실(송파구청),2일권,0,2
163,2024-01-14 11:00:00,2호선,종합운동장,2일권,2,0
164,2024-01-14 13:00:00,2호선,동대문역사문화공원(DDP),2일권,0,2
165,2024-01-14 13:00:00,2호선,잠실(송파구청),2일권,2,0
166,2024-01-14 14:00:00,2호선,을지로4가,2일권,2,2
167,2024-01-14 14:00:00,2호선,동대문역사문화공원(DDP),2일권,2,0
168,2024-01-14 15:00:00,2호선,구로디지털단지,2일권,0,2
169,2024-01-17 12:00:00,1호선,서울역,1일권,2,0
170,2024-01-17 12:00:00,3호선,경복궁(정부서울청사),1일권,0,2
171,2024-01-17 14:00:00,3호선,경복궁(정부서울청사),1일권,2,0
172,2024-01-17 14:00:00,3호선,안국,1일권,0,2
173,2024-01-17 16:00:00,3호선,안국,1일권,2,0
174,2024-01-17 17:00:00,1호선,종로5가,1일권,3,0
175,2024-01-17 17:00:00,2호선,잠실(송파구청),1일권,0,2
176,2024-01-17 18:00:00,2호선,잠실(송파구청),1일권,2,0
177,2024-01-17 18:00:00,2호선,선릉,1일권,0,3
178,2024-01-17 19:00:00,4호선,명동,1일권,0,2
179,2024-01-17 21:00:00,4호선,명동,1일권,2,0
180,2024-01-17 22:00:00,1호선,동묘앞,1일권,0,2
181,2024-01-18 10:00:00,3호선,종로3가,1일권,8,0
182,2024-01-18 10:00:00,5호선,종로3가,1일권,6,0
183,2024-01-18 11:00:00,1호선,시청,1일권,3,3
184,2024-01-18 11:00:00,1호선,동묘앞,1일권,0,3
185,2024-01-18 11:00:00,2호선,뚝섬,1일권,0,2
186,2024-01-18 11:00:00,2호선,성수,1일권,0,4
187,2024-01-18 11:00:00,2호선,삼성(무역센터),1일권,0,5
188,2024-01-18 11:00:00,3호선,압구정,1일권,0,5
189,2024-01-18 11:00:00,5호선,종로3가,1일권,5,0
190,2024-01-18 12:00:00,2호선,을지로입구,1일권,2,0
191,2024-01-18 12:00:00,2호선,홍대입구,1일권,0,2
192,2024-01-18 12:00:00,3호선,안국,1일권,3,0
193,2024-01-18 12:00:00,5호선,종로3가,1일권,2,0
194,2024-01-18 13:00:00,1호선,동묘앞,1일권,2,0
195,2024-01-18 13:00:00,2호선,왕십리(성동구청),1일권,0,2
196,2024-01-18 13:00:00,2호선,성수,1일권,4,0
197,2024-01-18 13:00:00,2호선,신촌,1일권,2,2
198,2024-01-18 13:00:00,8호선,장지,1일권,0,1
199,2024-01-18 14:00:00,2호선,성수,1일권,0,5
200,2024-01-18 14:00:00,2호선,잠실새내,1일권,1,1
201,2024-01-18 14:00:00,2호선,삼성(무역센터),1일권,5,0
202,2024-01-18 14:00:00,4호선,명동,1일권,0,6
203,2024-01-18 14:00:00,4호선,명동,3일권,1,0
204,2024-01-18 14:00:00,8호선,잠실(송파구청),1일권,0,1
205,2024-01-18 14:00:00,8호선,장지,1일권,1,0
206,2024-01-18 15:00:00,1호선,동묘앞,1일권,1,0
207,2024-01-18 15:00:00,2호선,홍대입구,1일권,2,5
208,2024-01-18 15:00:00,3호선,종로3가,1일권,0,1
209,2024-01-18 15:00:00,5호선,종로3가,1일권,0,2
210,2024-01-18 16:00:00,2호선,을지로4가,5일권,0,1
211,2024-01-18 16:00:00,5호선,종로3가,1일권,0,2
212,2024-01-18 16:00:00,6호선,합정,5일권,1,0
213,2024-01-18 17:00:00,1호선,종각,1일권,0,5
