연번,업무일자,시간대,호선,역명,교통카드구분,사용자구분,사용일수구분,승차건수,하차건수
1,2024-01-01,10,4호선,숙대입구(갈월),고급형선불카드,일반,7일권,1,0
4,2024-01-01,13,1호선,종각,고급형선불카드,일반,7일권,0,1
5,2024-01-01,17,4호선,명동,고급형선불카드,일반,7일권,1,0
6,2024-01-01,18,4호선,숙대입구(갈월),고급형선불카드,일반,7일권,0,1
7,2024-01-02,9,4호선,서울역,고급형선불카드,일반,1일권,1,0
8,2024-01-02,10,2호선,삼성(무역센터),고급형선불카드,일반,1일권,1,1
9,2024-01-02,10,4호선,숙대입구(갈월),고급형선불카드,일반,7일권,1,0
10,2024-01-02,10,4호선,신용산,고급형선불카드,일반,7일권,0,1
11,2024-01-02,11,1호선,동묘앞,고급형선불카드,일반,7일권,0,1
12,2024-01-02,11,2호선,강남,고급형선불카드,일반,1일권,1,1
13,2024-01-02,11,2호선,사당,고급형선불카드,일반,1일권,1,2
14,2024-01-02,11,4호선,사당,고급형선불카드,일반,1일권,1,0
15,2024-01-02,12,3호선,안국,고급형선불카드,일반,1일권,0,1
16,2024-01-02,13,3호선,경복궁(정부서울청사),고급형선불카드,일반,1일권,1,0
17,2024-01-02,14,3호선,안국,고급형선불카드,일반,1일권,1,1
18,2024-01-02,15,5호선,여의도,고급형선불카드,일반,1일권,1,1
19,2024-01-02,16,5호선,여의나루,고급형선불카드,일반,1일권,0,1
20,2024-01-02,17,5호선,여의나루,고급형선불카드,일반,1일권,1,0
21,2024-01-02,18,4호선,회현(남대문시장),고급형선불카드,일반,1일권,0,1
22,2024-01-02,19,1호선,서울역,고급형선불카드,일반,1일권,1,0
23,2024-01-02,19,4호선,회현(남대문시장),고급형선불카드,일반,1일권,1,0
24,2024-01-02,19,4호선,서울역,고급형선불카드,일반,1일권,0,1
25,2024-01-02,19,4호선,서울역,고급형선불카드,일반,7일권,1,1
26,2024-01-02,19,4호선,숙대입구(갈월),고급형선불카드,일반,7일권,1,0
27,2024-01-03,18,1호선,서울역,고급형선불카드,일반,5일권,1,0
28,2024-01-03,18,4호선,숙대입구(갈월),고급형선불카드,일반,5일권,0,1
29,2024-01-04,0,1호선,서울역,고급형선불카드,일반,2일권,1,0
30,2024-01-04,0,6호선,동묘앞,고급형선불카드,일반,2일권,0,1
31,2024-01-04,10,2호선,을지로3가,고급형선불카드,일반,3일권,3,0
32,2024-01-04,10,3호선,경복궁(정부서울청사),고급형선불카드,일반,3일권,0,3
33,2024-01-04,10,4호선,서울역,고급형선불카드,일반,2일권,2,0
34,2024-01-04,11,6호선,한강진,고급형선불카드,일반,2일권,0,2
35,2024-01-04,12,4호선,서울역,고급형선불카드,일반,5일권,0,1
36,2024-01-04,12,4호선,숙대입구(갈월),고급형선불카드,일반,5일권,1,0
37,2024-01-04,12,6호선,녹사평(용산구청),고급형선불카드,일반,2일권,0,2
38,2024-01-04,12,6호선,한강진,고급형선불카드,일반,2일권,2,0
39,2024-01-04,13,4호선,서울역,고급형선불카드,일반,5일권,1,0
40,2024-01-04,14,2호선,성수,고급형선불카드,일반,2일권,0,2
41,2024-01-04,14,2호선,강남,고급형선불카드,일반,5일권,0,1
42,2024-01-04,14,6호선,녹사평(용산구청),고급형선불카드,일반,2일권,2,0
43,2024-01-04,17,2호선,성수,고급형선불카드,일반,2일권,2,0
44,2024-01-04,17,2호선,강남,고급형선불카드,일반,5일권,1,0
45,2024-01-04,17,4호선,명동,고급형선불카드,일반,2일권,0,2
46,2024-01-04,18,1호선,시청,고급형선불카드,일반,2일권,0,1
47,2024-01-04,18,1호선,동묘앞,고급형선불카드,일반,2일권,0,1
48,2024-01-04,18,6호선,삼각지,고급형선불카드,일반,2일권,1,0
49,2024-01-04,18,6호선,이태원,고급형선불카드,일반,5일권,0,1
50,2024-01-04,18,6호선,동묘앞,고급형선불카드,일반,2일권,1,0
51,2024-01-04,19,2호선,시청,고급형선불카드,일반,2일권,1,0
52,2024-01-04,19,2호선,을지로입구,고급형선불카드,일반,2일권,2,2
53,2024-01-04,19,2호선,홍대입구,고급형선불카드,일반,2일권,0,1
54,2024-01-04,20,2호선,을지로입구,고급형선불카드,일반,2일권,0,1
55,2024-01-04,20,2호선,홍대입구,고급형선불카드,일반,2일권,1,0
56,2024-01-04,20,4호선,동대문,고급형선불카드,일반,5일권,0,1
57,2024-01-04,20,6호선,이태원,고급형선불카드,일반,5일권,1,0
58,2024-01-04,21,2호선,시청,고급형선불카드,일반,2일권,0,2
59,2024-01-04,21,2호선,을지로입구,고급형선불카드,일반,2일권,2,0
60,2024-01-04,23,1호선,서울역,고급형선불카드,일반,2일권,0,1
61,2024-01-04,23,2호선,을지로4가,고급형선불카드,일반,2일권,1,0
62,2024-01-05,6,1호선,동묘앞,고급형선불카드,일반,2일권,1,0
63,2024-01-05,7,4호선,명동,고급형선불카드,일반,2일권,0,1
64,2024-01-05,9,1호선,서울역,고급형선불카드,일반,3일권,2,0
65,2024-01-05,9,2호선,시청,고급형선불카드,일반,2일권,2,0
66,2024-01-05,10,1호선,종로5가,고급형선불카드,일반,2일권,0,2
67,2024-01-05,10,2호선,이대,고급형선불카드,일반,3일권,0,2
68,2024-01-05,11,1호선,종로5가,고급형선불카드,일반,2일권,2,0
69,2024-01-05,11,2호선,이대,고급형선불카드,일반,3일권,2,0
70,2024-01-05,11,3호선,경복궁(정부서울청사),고급형선불카드,일반,2일권,0,2
71,2024-01-05,11,3호선,안국,고급형선불카드,일반,5일권,0,1
72,2024-01-05,11,4호선,숙대입구(갈월),고급형선불카드,일반,5일권,1,0
74,2024-01-05,13,3호선,경복궁(정부서울청사),고급형선불카드,일반,2일권,2,0
75,2024-01-05,13,4호선,명동,고급형선불카드,일반,2일권,1,0
76,2024-01-05,14,1호선,시청,고급형선불카드,일반,2일권,2,2
77,2024-01-05,14,3호선,경복궁(정부서울청사),고급형선불카드,일반,2일권,0,1
78,2024-01-05,14,3호선,안국,고급형선불카드,일반,5일권,1,0
79,2024-01-05,15,1호선,서울역,고급형선불카드,일반,2일권,2,4
80,2024-01-05,15,2호선,삼성(무역센터),고급형선불카드,일반,3일권,2,0
81,2024-01-05,15,3호선,경복궁(정부서울청사),고급형선불카드,일반,5일권,0,1
82,2024-01-05,16,2호선,동대문역사문화공원(DDP),고급형선불카드,일반,3일권,0,2
83,2024-01-05,16,3호선,경복궁(정부서울청사),고급형선불카드,일반,5일권,1,0
84,2024-01-05,16,3호선,안국,고급형선불카드,일반,2일권,1,0
85,2024-01-05,16,4호선,명동,고급형선불카드,일반,2일권,0,1
86,2024-01-05,16,4호선,명동,고급형선불카드,일반,5일권,0,1
87,2024-01-05,17,4호선,동대문,고급형선불카드,일반,3일권,2,0
88,2024-01-05,18,2호선,을지로입구,고급형선불카드,일반,3일권,3,0
89,2024-01-05,18,2호선,을지로3가,고급형선불카드,일반,3일권,0,3
90,2024-01-05,18,4호선,명동,고급형선불카드,일반,3일권,0,2
91,2024-01-05,20,1호선,동묘앞,고급형선불카드,일반,2일권,1,1
92,2024-01-05,20,4호선,명동,고급형선불카드,일반,2일권,1,0
93,2024-01-05,21,1호선,서울역,고급형선불카드,일반,2일권,0,1
94,2024-01-05,21,4호선,명동,고급형선불카드,일반,3일권,2,0
95,2024-01-05,21,4호선,명동,고급형선불카드,일반,5일권,1,0
96,2024-01-05,21,4호선,숙대입구(갈월),고급형선불카드,일반,5일권,0,1
97,2024-01-05,22,3호선,녹번,고급형선불카드,일반,3일권,0,2
98,2024-01-05,22,4호선,동대문,고급형선불카드,일반,2일권,0,1
99,2024-01-05,23,4호선,혜화,고급형선불카드,일반,2일권,1,0
100,2024-01-05,23,4호선,서울역,고급형선불카드,일반,2일권,0,1
101,2024-01-06,8,3호선,녹번,고급형선불카드,일반,3일권,1,0
102,2024-01-06,8,4호선,서울역,고급형선불카드,일반,5일권,0,1
103,2024-01-06,8,4호선,숙대입구(갈월),고급형선불카드,일반,5일권,1,0
104,2024-01-06,9,3호선,경복궁(정부서울청사),고급형선불카드,일반,3일권,0,1
105,2024-01-06,10,2호선,시청,고급형선불카드,일반,3일권,3,0
106,2024-01-06,11,2호선,뚝섬,고급형선불카드,일반,3일권,0,3
107,2024-01-06,12,3호선,녹번,고급형선불카드,일반,3일권,1,0
108,2024-01-06,13,5호선,여의나루,고급형선불카드,일반,3일권,0,1
109,2024-01-06,14,5호선,여의나루,고급형선불카드,일반,3일권,1,0
110,2024-01-06,15,4호선,이촌(국립중앙박물관),고급형선불카드,일반,3일권,0,1
111,2024-01-06,16,3호선,안국,고급형선불카드,일반,3일권,1,0
112,2024-01-06,16,3호선,종로3가,고급형선불카드,일반,3일권,0,1
114,2024-01-06,17,4호선,이촌(국립중앙박물관),고급형선불카드,일반,3일권,1,0
115,2024-01-06,18,2호선,홍대입구,고급형선불카드,일반,3일권,0,2
116,2024-01-06,18,3호선,종로3가,고급형선불카드,일반,3일권,1,0
117,2024-01-06,22,2호선,신촌,고급형선불카드,일반,3일권,2,0
118,2024-01-06,22,3호선,녹번,고급형선불카드,일반,3일권,0,2
119,2024-01-07,0,3호선,독립문,고급형선불카드,일반,3일권,0,2
120,2024-01-07,9,3호선,녹번,고급형선불카드,일반,3일권,2,0
121,2024-01-07,9,4호선,명동,고급형선불카드,일반,3일권,0,2
122,2024-01-07,12,2호선,잠실(송파구청),고급형선불카드,일반,3일권,0,2
123,2024-01-07,12,4호선,회현(남대문시장),고급형선불카드,일반,3일권,2,0
124,2024-01-07,17,2호선,잠실(송파구청),고급형선불카드,일반,3일권,2,0
125,2024-01-07,18,2호선,강남,고급형선불카드,일반,3일권,0,2
127,2024-01-07,21,4호선,명동,고급형선불카드,일반,3일권,2,2
128,2024-01-07,22,4호선,서울역,고급형선불카드,일반,3일권,0,2
129,2024-01-07,23,1호선,서울역,고급형선불카드,일반,3일권,2,0
130,2024-01-08,10,4호선,명동,고급형선불카드,일반,2일권,0,2
131,2024-01-08,10,4호선,서울역,고급형선불카드,일반,2일권,2,0
132,2024-01-08,11,4호선,명동,고급형선불카드,일반,2일권,2,0
133,2024-01-08,11,4호선,신용산,고급형선불카드,일반,2일권,0,2
134,2024-01-08,13,4호선,신용산,고급형선불카드,일반,2일권,2,0
135,2024-01-08,14,2호선,홍대입구,고급형선불카드,일반,2일권,0,2
136,2024-01-08,21,2호선,을지로입구,고급형선불카드,일반,3일권,2,1
137,2024-01-08,21,2호선,구로디지털단지,고급형선불카드,일반,3일권,0,1
138,2024-01-08,21,3호선,신사,고급형선불카드,일반,2일권,2,0
140,2024-01-09,0,4호선,명동,고급형선불카드,일반,2일권,0,2
141,2024-01-09,18,2호선,낙성대(강감찬),고급형선불카드,일반,3일권,6,0
142,2024-01-09,19,2호선,강남,고급형선불카드,일반,2일권,0,2
143,2024-01-09,19,2호선,구로디지털단지,고급형선불카드,일반,3일권,0,6
144,2024-01-09,19,4호선,명동,고급형선불카드,일반,2일권,2,0
145,2024-01-09,23,2호선,홍대입구,고급형선불카드,일반,2일권,2,0
146,2024-01-10,19,2호선,을지로3가,고급형선불카드,일반,3일권,0,1
147,2024-01-10,19,2호선,홍대입구,고급형선불카드,일반,3일권,1,0
148,2024-01-12,10,1호선,서울역,고급형선불카드,일반,2일권,1,0
149,2024-01-12,10,1호선,종로5가,고급형선불카드,일반,2일권,0,1
150,2024-01-12,16,2호선,시청,고급형선불카드,일반,2일권,1,0
151,2024-01-12,16,2호선,합정,고급형선불카드,일반,2일권,0,1
152,2024-01-13,10,2호선,구로디지털단지,고급형선불카드,일반,2일권,2,0
153,2024-01-13,11,2호선,합정,고급형선불카드,일반,2일권,1,0
154,2024-01-13,11,3호선,경복궁(정부서울청사),고급형선불카드,일반,2일권,0,2
155,2024-01-13,13,3호선,경복궁(정부서울청사),고급형선불카드,일반,2일권,2,0
156,2024-01-13,13,3호선,안국,고급형선불카드,일반,2일권,0,2
157,2024-01-13,14,1호선,종각,고급형선불카드,일반,2일권,1,0
158,2024-01-13,15,4호선,명동,고급형선불카드,일반,2일권,0,2
159,2024-01-13,16,2호선,구로디지털단지,고급형선불카드,일반,2일권,0,2
160,2024-01-13,16,4호선,명동,고급형선불카드,일반,2일권,2,0
161,2024-01-14,10,2호선,종합운동장,고급형선불카드,일반,2일권,0,2
162,2024-01-14,10,2호선,구로디지털단지,고급형선불카드,일반,2일권,2,0
163,2024-01-14,11,2호선,잠실(송파구청),고급형선불카드,일반,2일권,0,2
164,2024-01-14,11,2호선,종합운동장,고급형선불카드,일반,2일권,2,0
165,2024-01-14,13,2호선,동대문역사문화공원(DDP),고급형선불카드,일반,2일권,0,2
166,2024-01-14,13,2호선,잠실(송파구청),고급형선불카드,일반,2일권,2,0
167,2024-01-14,14,2호선,을지로4가,고급형선불카드,일반,2일권,2,2
168,2024-01-14,14,2호선,동대문역사문화공원(DDP),고급형선불카드,일반,2일권,2,0
169,2024-01-14,15,2호선,구로디지털단지,고급형선불카드,일반,2일권,0,2
170,2024-01-17,12,1호선,서울역,고급형선불카드,일반,1일권,2,0
171,2024-01-17,12,3호선,경복궁(정부서울청사),고급형선불카드,일반,1일권,0,2
172,2024-01-17,14,3호선,경복궁(정부서울청사),고급형선불카드,일반,1일권,2,0
173,2024-01-17,14,3호선,안국,고급형선불카드,일반,1일권,0,2
174,2024-01-17,16,3호선,안국,고급형선불카드,일반,1일권,2,0
175,2024-01-17,17,1호선,종로5가,고급형선불카드,일반,1일권,3,0
176,2024-01-17,17,2호선,잠실(송파구청),고급형선불카드,일반,1일권,0,2
177,2024-01-17,18,2호선,잠실(송파구청),고급형선불카드,일반,1일권,2,0
178,2024-01-17,18,2호선,선릉,고급형선불카드,일반,1일권,0,3
179,2024-01-17,19,4호선,명동,고급형선불카드,일반,1일권,0,2
180,2024-01-17,21,4호선,명동,고급형선불카드,일반,1일권,2,0
181,2024-01-17,22,1호선,동묘앞,고급형선불카드,일반,1일권,0,2
182,2024-01-18,10,3호선,종로3가,고급형선불카드,일반,1일권,8,0
183,2024-01-18,10,5호선,종로3가,고급형선불카드,일반,1일권,6,0
184,2024-01-18,11,1호선,시청,고급형선불카드,일반,1일권,3,3
185,2024-01-18,11,1호선,동묘앞,고급형선불카드,일반,1일권,0,3
186,2024-01-18,11,2호선,뚝섬,고급형선불카드,일반,1일권,0,2
187,2024-01-18,11,2호선,성수,고급형선불카드,일반,1일권,0,4
188,2024-01-18,11,2호선,삼성(무역센터),고급형선불카드,일반,1일권,0,5
189,2024-01-18,11,3호선,압구정,고급형선불카드,일반,1일권,0,5
190,2024-01-18,11,5호선,종로3가,고급형선불카드,일반,1일권,5,0
191,2024-01-18,12,2호선,을지로입구,고급형선불카드,일반,1일권,2,0
192,2024-01-18,12,2호선,홍대입구,고급형선불카드,일반,1일권,0,2
193,2024-01-18,12,3호선,안국,고급형선불카드,일반,1일권,3,0
194,2024-01-18,12,5호선,종로3가,고급형선불카드,일반,1일권,2,0
195,2024-01-18,13,1호선,동묘앞,고급형선불카드,일반,1일권,2,0
196,2024-01-18,13,2호선,왕십리(성동구청),고급형선불카드,일반,1일권,0,2
197,2024-01-18,13,2호선,성수,고급형선불카드,일반,1일권,4,0
198,2024-01-18,13,2호선,신촌,고급형선불카드,일반,1일권,2,2
199,2024-01-18,13,8호선,장지,고급형선불카드,일반,1일권,0,1
200,2024-01-18,14,2호선,성수,고급형선불카드,일반,1일권,0,5
201,2024-01-18,14,2호선,잠실새내,고급형선불카드,일반,1일권,1,1
202,2024-01-18,14,2호선,삼성(무역센터),고급형선불카드,일반,1일권,5,0
203,2024-01-18,14,4호선,명동,고급형선불카드,일반,1일권,0,6
204,2024-01-18,14,4호선,명동,고급형선불카드,일반,3일권,1,0
205,2024-01-18,14,8호선,잠실(송파구청),고급형선불카드,일반,1일권,0,1
206,2024-01-18,14,8호선,장지,고급형선불카드,일반,1일권,1,0
207,2024-01-18,15,1호선,동묘앞,고급형선불카드,일반,1일권,1,0
208,2024-01-18,15,2호선,홍대입구,고급형선불카드,일반,1일권,2,5
209,2024-01-18,15,3호선,종로3가,고급형선불카드,일반,1일권,0,1
210,2024-01-18,15,5호선,종로3가,고급형선불카드,일반,1일권,0,2
211,2024-01-18,16,2호선,을지로4가,고급형선불카드,일반,5일권,0,1
212,2024-01-18,16,5호선,종로3가,고급형선불카드,일반,1일권,0,2
213,2024-01-18,16,6호선,합정,고급형선불카드,일반,5일권,1,0
214,2024-01-18,17,1호선,종각,고급형선불카드,일반,1일권,0,5
215,2024-01-18,17,2호선,을지로입구,고급형선불카드,일반,1일권,4,0
216,2024-01-18,17,2호선,성수,고급형선불카드,일반,1일권,5,0
217,2024-01-18,17,2호선,잠실(송파구청),고급형선불카드,일반,1일권,1,0
218,2024-01-18,17,2호선,홍대입구,고급형선불카드,일반,1일권,5,0
219,2024-01-18,17,3호선,종로3가,고급형선불카드,일반,1일권,0,4
220,2024-01-18,18,2호선,강남,고급형선불카드,일반,3일권,1,0
221,2024-01-18,18,5호선,종로3가,고급형선불카드,일반,1일권,0,6
222,2024-01-18,19,2호선,홍대입구,고급형선불카드,일반,3일권,0,1
223,2024-01-18,21,1호선,시청,고급형선불카드,일반,3일권,1,0
224,2024-01-18,21,1호선,종각,고급형선불카드,일반,3일권,1,2
225,2024-01-18,21,2호선,시청,고급형선불카드,일반,3일권,0,1
226,2024-01-18,21,2호선,홍대입구,고급형선불카드,일반,3일권,1,0
227,2024-01-18,22,5호선,종로3가,고급형선불카드,일반,1일권,11,0
229,2024-01-18,23,6호선,마포구청,고급형선불카드,일반,5일권,0,1
230,2024-01-18,23,6호선,이태원,고급형선불카드,일반,1일권,0,11
231,2024-01-19,12,1호선,서울역,고급형선불카드,일반,7일권,1,0
232,2024-01-19,13,1호선,종로3가,고급형선불카드,일반,3일권,1,0
233,2024-01-19,13,2호선,홍대입구,고급형선불카드,일반,5일권,1,0
234,2024-01-19,13,3호선,안국,고급형선불카드,일반,3일권,0,1
235,2024-01-19,13,5호선,아차산(어린이대공원후문),고급형선불카드,일반,5일권,0,1
237,2024-01-19,15,3호선,종로3가,고급형선불카드,일반,3일권,1,0
239,2024-01-19,16,3호선,경복궁(정부서울청사),고급형선불카드,일반,3일권,0,1
240,2024-01-19,17,1호선,동대문,고급형선불카드,일반,7일권,0,1
241,2024-01-19,18,2호선,시청,고급형선불카드,일반,3일권,0,1
242,2024-01-19,18,5호선,광화문(세종문화회관),고급형선불카드,일반,3일권,1,0
243,2024-01-19,19,1호선,서울역,고급형선불카드,일반,3일권,0,1
244,2024-01-19,19,1호선,시청,고급형선불카드,일반,3일권,1,0
246,2024-01-19,19,4호선,명동,고급형선불카드,일반,3일권,0,1
247,2024-01-19,19,4호선,서울역,고급형선불카드,일반,3일권,1,0
248,2024-01-19,20,4호선,동대문,고급형선불카드,일반,1일권,0,1
249,2024-01-19,20,5호선,광화문(세종문화회관),고급형선불카드,일반,5일권,0,1
250,2024-01-19,20,5호선,아차산(어린이대공원후문),고급형선불카드,일반,5일권,1,0
251,2024-01-19,21,1호선,종각,고급형선불카드,일반,3일권,0,1
252,2024-01-19,21,4호선,동대문,고급형선불카드,일반,1일권,1,0
253,2024-01-19,21,4호선,명동,고급형선불카드,일반,3일권,1,0
254,2024-01-19,21,5호선,광화문(세종문화회관),고급형선불카드,일반,5일권,1,0
255,2024-01-19,22,2호선,홍대입구,고급형선불카드,일반,5일권,0,1
256,2024-01-19,22,5호선,광화문(세종문화회관),고급형선불카드,일반,1일권,1,1
257,2024-01-19,23,1호선,서울역,고급형선불카드,일반,1일권,0,1
258,2024-01-20,10,6호선,동묘앞,고급형선불카드,일반,7일권,1,0
259,2024-01-20,11,1호선,종각,고급형선불카드,일반,3일권,2,1
260,2024-01-20,11,2호선,잠실(송파구청),고급형선불카드,일반,7일권,0,1
261,2024-01-20,11,3호선,경복궁(정부서울청사),고급형선불카드,일반,3일권,0,1
262,2024-01-20,11,3호선,안국,고급형선불카드,일반,3일권,1,1
263,2024-01-20,13,3호선,경복궁(정부서울청사),고급형선불카드,일반,3일권,1,0
264,2024-01-20,13,3호선,안국,고급형선불카드,일반,3일권,0,1
265,2024-01-20,17,1호선,종로3가,고급형선불카드,일반,3일권,0,1
266,2024-01-20,17,3호선,안국,고급형선불카드,일반,3일권,1,0
267,2024-01-20,18,1호선,종로3가,고급형선불카드,일반,3일권,1,0
268,2024-01-20,18,5호선,마장,고급형선불카드,일반,3일권,0,1
269,2024-01-20,20,1호선,종각,고급형선불카드,일반,3일권,0,1
270,2024-01-20,20,5호선,마장,고급형선불카드,일반,3일권,1,0
271,2024-01-20,21,2호선,잠실(송파구청),고급형선불카드,일반,7일권,1,0
272,2024-01-20,21,6호선,동묘앞,고급형선불카드,일반,7일권,0,1
273,2024-01-21,10,2호선,홍대입구,고급형선불카드,일반,5일권,1,0
274,2024-01-21,10,2호선,신촌,고급형선불카드,일반,5일권,0,1
275,2024-01-21,12,1호선,종로3가,고급형선불카드,일반,7일권,0,1
276,2024-01-21,12,6호선,동묘앞,고급형선불카드,일반,7일권,1,0
277,2024-01-21,13,2호선,신촌,고급형선불카드,일반,5일권,1,0
278,2024-01-21,14,4호선,충무로,고급형선불카드,일반,5일권,0,1
279,2024-01-21,17,1호선,동대문,고급형선불카드,일반,7일권,0,1
280,2024-01-21,17,3호선,안국,고급형선불카드,일반,7일권,1,0
281,2024-01-21,18,4호선,충무로,고급형선불카드,일반,5일권,1,0
282,2024-01-21,19,3호선,연신내,고급형선불카드,일반,5일권,0,1
283,2024-01-21,21,2호선,홍대입구,고급형선불카드,일반,5일권,0,1
284,2024-01-21,21,3호선,연신내,고급형선불카드,일반,5일권,1,0
285,2024-01-22,14,3호선,경복궁(정부서울청사),고급형선불카드,일반,5일권,1,0
286,2024-01-22,14,3호선,약수,고급형선불카드,일반,7일권,0,1
287,2024-01-22,14,4호선,회현(남대문시장),고급형선불카드,일반,5일권,0,1
288,2024-01-22,14,6호선,동묘앞,고급형선불카드,일반,7일권,1,0
289,2024-01-22,17,2호선,을지로입구,고급형선불카드,일반,7일권,2,1
290,2024-01-22,17,2호선,홍대입구,고급형선불카드,일반,7일권,0,1
291,2024-01-22,17,4호선,회현(남대문시장),고급형선불카드,일반,5일권,1,0
292,2024-01-22,18,6호선,마포구청,고급형선불카드,일반,5일권,0,1
293,2024-01-22,19,6호선,상수,고급형선불카드,일반,7일권,1,0
294,2024-01-22,20,6호선,동묘앞,고급형선불카드,일반,7일권,0,1
295,2024-01-23,11,6호선,동묘앞,고급형선불카드,일반,7일권,1,0
296,2024-01-24,8,3호선,경복궁(정부서울청사),고급형선불카드,일반,3일권,0,2
297,2024-01-24,8,4호선,명동,고급형선불카드,일반,3일권,2,0
298,2024-01-24,10,3호선,경복궁(정부서울청사),고급형선불카드,일반,3일권,2,0
299,2024-01-24,11,3호선,안국,고급형선불카드,일반,3일권,0,2
301,2024-01-24,13,1호선,종각,고급형선불카드,일반,3일권,2,0
303,2024-01-24,13,4호선,동대문,고급형선불카드,일반,7일권,0,1
306,2024-01-24,16,2호선,시청,고급형선불카드,일반,7일권,1,0
307,2024-01-24,16,2호선,홍대입구,고급형선불카드,일반,7일권,0,1
308,2024-01-24,17,2호선,성수,고급형선불카드,일반,3일권,0,2
309,2024-01-24,17,2호선,삼성(무역센터),고급형선불카드,일반,3일권,2,0
310,2024-01-24,17,2호선,홍대입구,고급형선불카드,일반,7일권,1,0
311,2024-01-24,18,2호선,성수,고급형선불카드,일반,3일권,2,0
312,2024-01-24,18,4호선,명동,고급형선불카드,일반,3일권,0,2
313,2024-01-25,10,1호선,서울역,고급형선불카드,일반,3일권,2,0
314,2024-01-25,10,4호선,서울역,고급형선불카드,일반,3일권,1,0
315,2024-01-25,10,4호선,서울역,고급형선불카드,일반,7일권,7,0
316,2024-01-25,11,1호선,시청,고급형선불카드,일반,3일권,0,5
317,2024-01-25,11,3호선,경복궁(정부서울청사),고급형선불카드,일반,7일권,0,2
318,2024-01-25,11,3호선,안국,고급형선불카드,일반,3일권,0,1
319,2024-01-25,11,3호선,안국,고급형선불카드,일반,7일권,0,7
320,2024-01-25,11,4호선,서울역,고급형선불카드,일반,7일권,2,0
321,2024-01-25,15,1호선,서울역,고급형선불카드,일반,3일권,0,5
322,2024-01-25,15,1호선,시청,고급형선불카드,일반,3일권,5,0
323,2024-01-25,16,1호선,서울역,고급형선불카드,일반,3일권,5,0
324,2024-01-25,16,4호선,회현(남대문시장),고급형선불카드,일반,3일권,0,5
325,2024-01-25,17,5호선,발산,고급형선불카드,일반,3일권,2,0
326,2024-01-25,18,4호선,명동,고급형선불카드,일반,3일권,0,2
327,2024-01-25,18,4호선,회현(남대문시장),고급형선불카드,일반,3일권,5,0
328,2024-01-25,18,4호선,서울역,고급형선불카드,일반,3일권,0,5
329,2024-01-25,19,1호선,서울역,고급형선불카드,일반,3일권,5,0
330,2024-01-25,19,4호선,명동,고급형선불카드,일반,3일권,1,0
331,2024-01-25,19,4호선,명동,고급형선불카드,일반,7일권,7,0
332,2024-01-25,19,4호선,숙대입구(갈월),고급형선불카드,일반,3일권,0,1
333,2024-01-25,19,4호선,숙대입구(갈월),고급형선불카드,일반,7일권,0,7
334,2024-01-26,9,1호선,서울역,고급형선불카드,일반,3일권,3,0
335,2024-01-26,9,1호선,서울역,고급형선불카드,일반,7일권,6,0
336,2024-01-26,9,2호선,을지로입구,고급형선불카드,일반,7일권,2,0
338,2024-01-26,9,4호선,명동,고급형선불카드,일반,3일권,2,0
339,2024-01-26,9,4호선,서울역,고급형선불카드,일반,3일권,0,2
340,2024-01-26,10,2호선,을지로4가,고급형선불카드,일반,7일권,0,2
341,2024-01-26,10,2호선,잠실(송파구청),고급형선불카드,일반,3일권,0,5
342,2024-01-26,10,3호선,경복궁(정부서울청사),고급형선불카드,일반,3일권,0,1
343,2024-01-26,10,3호선,경복궁(정부서울청사),고급형선불카드,일반,7일권,0,6
345,2024-01-26,14,2호선,잠실(송파구청),고급형선불카드,일반,3일권,1,0
346,2024-01-26,14,2호선,합정,고급형선불카드,일반,3일권,0,2
347,2024-01-26,15,1호선,서울역,고급형선불카드,일반,3일권,0,1
348,2024-01-26,15,1호선,서울역,고급형선불카드,일반,7일권,0,7
349,2024-01-26,15,1호선,종각,고급형선불카드,일반,3일권,1,0
350,2024-01-26,15,1호선,종각,고급형선불카드,일반,7일권,7,0
351,2024-01-26,15,2호선,홍대입구,고급형선불카드,일반,3일권,0,1
352,2024-01-26,15,4호선,서울역,고급형선불카드,일반,3일권,1,0
353,2024-01-26,15,4호선,서울역,고급형선불카드,일반,7일권,6,0
355,2024-01-26,18,2호선,잠실(송파구청),고급형선불카드,일반,3일권,0,1
356,2024-01-26,18,4호선,숙대입구(갈월),고급형선불카드,일반,7일권,1,0
357,2024-01-26,19,2호선,홍대입구,고급형선불카드,일반,7일권,0,1
358,2024-01-26,20,2호선,잠실(송파구청),고급형선불카드,일반,3일권,1,0
359,2024-01-26,21,2호선,잠실(송파구청),고급형선불카드,일반,3일권,4,0
360,2024-01-26,21,2호선,홍대입구,고급형선불카드,일반,3일권,1,1
363,2024-01-26,22,4호선,숙대입구(갈월),고급형선불카드,일반,3일권,0,1
364,2024-01-26,22,4호선,숙대입구(갈월),고급형선불카드,일반,7일권,0,7
365,2024-01-27,10,1호선,서울역,고급형선불카드,일반,3일권,1,0
366,2024-01-27,10,1호선,서울역,고급형선불카드,일반,7일권,6,0
367,2024-01-27,10,4호선,충무로,고급형선불카드,일반,3일권,0,1
368,2024-01-27,10,4호선,충무로,고급형선불카드,일반,7일권,0,6
369,2024-01-27,11,4호선,명동,고급형선불카드,일반,7일권,2,0
370,2024-01-27,11,4호선,숙대입구(갈월),고급형선불카드,일반,7일권,1,0
371,2024-01-27,11,4호선,신용산,고급형선불카드,일반,7일권,0,2
